FHLBank,FIPSStateCode,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount
472522,51244,57420,2,180,2,63,0.0288,5,96000
472522,64500,90240,1,360,1,35,0.035,3,296235
472522,64500,110004,2,360,2,33,0.035,3,214000
472522,55653,74172,1,360,2,50,0.0338,5,251000
472522,47830,61884,1,360,1,25,0.035,4,101690
472522,64129,162936,1,360,2,41,0.035,5,325000
472522,64500,77568,1,360,1,28,0.035,5,238009
472522,59588,38508,1,360,1,48,0.035,5,69000
472522,49426,50448,1,360,2,61,0.0325,5,168000
472522,52431,47436,1,360,1,64,0.035,5,165000
472522,55638,119004,2,360,2,38,0.035,4,253963
472522,47830,209448,1,360,2,42,0.0363,5,132224
472522,51244,128268,1,360,1,54,0.0325,5,410101
472522,51244,122568,2,360,2,51,0.0338,5,215000
472522,47275,89928,1,360,1,64,0.0325,5,395000
472522,49426,224184,1,360,1,49,0.0363,5,250000
472522,49426,118248,1,360,2,56,0.035,4,373000
472522,64500,80628,1,360,1,58,0.035,4,352400
472522,55653,108552,2,360,2,37,0.035,4,99500
472522,47238,70272,2,360,2,67,0.035,4,347000
472522,51244,105480,1,360,2,45,0.0325,5,205400
472522,55702,108288,1,360,2,34,0.035,5,284075
472522,49426,95376,2,360,2,70,0.0325,4,198800
472522,50532,43656,2,360,2,27,0.0325,5,125000
472522,49426,117180,2,360,2,54,0.0325,3,93000
472522,51244,172908,1,360,2,52,0.035,5,165000
472522,66262,90000,2,360,2,32,0.0338,3,159500
472522,75847,146004,2,360,2,52,0.0338,5,300450
472522,51492,93900,1,360,2,35,0.0363,4,139450
472522,62912,95808,1,360,2,32,0.0325,5,233458
472522,75847,93624,2,360,2,44,0.0325,2,249000
472522,66262,209460,2,360,2,49,0.035,4,350800
472522,70303,99540,1,360,2,40,0.0363,4,335700
472522,55653,121296,1,360,2,67,0.0338,5,330000
472522,64500,145596,1,360,2,66,0.0325,4,278000
472522,47830,122976,2,360,2,50,0.0325,5,147000
472522,47830,119208,1,360,2,63,0.0325,5,417000
472522,66262,152688,2,360,2,53,0.0325,5,230000
472522,47275,40452,1,360,2,44,0.0338,5,189900
472522,75847,78552,2,360,2,36,0.0325,5,191500
472522,50532,93396,2,360,2,32,0.0325,5,174066
472522,51244,119868,2,360,2,49,0.0338,5,222000
472522,49426,60372,2,360,2,66,0.035,5,184000
472522,55653,143748,1,360,2,38,0.0363,2,208000
472522,51492,72528,1,360,2,36,0.035,5,215000
472522,51075,136416,1,360,2,47,0.0338,5,159500
472522,42019,138756,1,360,2,49,0.0325,4,143750
472522,49426,128868,1,360,2,50,0.035,5,252000
472522,55653,64860,1,360,1,35,0.0363,5,153100
472522,47830,165444,2,360,2,49,0.035,5,365000
472522,55653,96132,1,360,2,32,0.0338,5,143360
472522,64500,168336,2,360,2,46,0.0363,4,328000
472522,48275,150000,1,360,2,39,0.035,3,415000
472522,55653,73764,2,360,2,69,0.0338,4,174200
472522,64129,85392,1,360,2,40,0.0338,5,205000
472522,70628,94092,1,360,1,51,0.0338,4,367700
