Index,FHLBankPopulation,StateAvgIncome,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount,Amount_Prediction
5462,298800,51075,95820,2,360,2,45,0.0388,4,196000,198900.1185
5463,8538000,60850,180077,1,360,2,42,0.035,5,480000,311391.9389
5464,673184,70628,195000,2,336,2,36,0.0375,4,386000,347996.6861
5465,215472,54736,43847,1,360,2,99,0.0413,3,106940,157189.4266
5466,303625,42019,25310,2,120,2,52,0.0325,4,50000,24868.34095
5467,126808,53906,70000,1,180,2,48,0.03,5,90000,141450.2938
5468,298800,51075,83436,1,360,2,48,0.0338,4,115500,181585.4893
5469,8538000,72222,218856,1,360,1,30,0.0375,5,516000,355447.4001
5470,864771,51084,130008,1,360,2,46,0.0325,5,262200,212199.6234
5471,298800,51075,82272,2,360,2,32,0.0363,5,250000,217497.1525
5472,864771,64500,90534,1,360,1,25,0.04,5,342000,251365.552
5473,864771,51084,56064,2,360,2,35,0.0375,5,156135,210973.1593
5474,864771,51084,180000,2,240,2,39,0.0325,5,334400,194181.8414
5475,126808,54996,71661,2,120,2,50,0.03,3,34000,107426.1285
5476,298800,50532,69996,2,360,2,46,0.0338,5,129000,206718.9887
5477,673184,70628,51926,2,360,2,52,0.035,5,100000,333101.1303
5478,298800,51075,180000,1,360,2,59,0.0388,5,255000,215325.4231
5479,864771,50532,156060,2,180,2,39,0.0275,5,352000,162572.2314
5480,864771,50532,47268,2,180,2,99,0.0288,3,60000,80383.94451
5481,126808,53906,232812,2,180,2,70,0.0288,5,244000,189688.9144
5482,673184,70628,180750,1,360,1,28,0.0375,5,400800,313752.5198
5483,126808,53906,109241,2,360,2,99,0.0375,5,243200,216781.0246
5484,864771,50532,41576,1,360,1,30,0.0388,5,134400,145642.6725
5485,126808,63909,44942,2,180,2,50,0.0288,5,100000,216315.1701
5486,298800,51075,69720,1,360,2,38,0.035,5,231920,197370.0015
5487,215472,54736,125649,2,360,2,99,0.0313,5,245697,229363.5763
5488,864771,51084,90996,1,360,2,36,0.0338,5,260000,205634.2556
5489,215472,50238,97412,2,360,2,46,0.0388,4,116448,193162.1244
5490,215472,63488,57432,2,360,2,37,0.035,5,200000,291675.8327
5491,303625,55702,103040,1,360,1,30,0.035,5,149900,195183.8259
5492,126808,48568,59089,2,360,2,39,0.0425,4,241000,173304.2361
5493,298800,51084,114000,1,360,2,44,0.0363,5,260800,205650.5225
5494,298800,45215,57340,2,180,2,69,0.0313,5,105000,88313.86231
5495,298800,51075,31200,1,360,1,32,0.04,5,60990,143740.311
5496,303625,55702,139751,1,354,2,53,0.04,4,325000,219126.6258
5497,126808,54996,67148,1,240,1,34,0.0313,5,236000,132775.3668
5498,864771,50532,28608,2,180,2,54,0.035,5,44000,121816.3685
5499,303625,55702,68800,1,360,1,28,0.0363,5,180500,186811.9071
5500,298800,51075,124152,2,360,2,55,0.035,5,167500,219907.7276
5501,864771,50532,59859,1,180,2,99,0.0275,5,100000,100766.0469
5502,864771,50532,37860,1,360,2,76,0.035,5,104900,173215.0644
5503,215472,50238,62338,1,360,2,99,0.0325,4,81000,152032.9945
5504,864771,51084,131577,1,360,2,41,0.0375,5,373520,212239.0378
5505,298800,51075,131153,1,360,2,33,0.0358,4,128000,198220.0652
5506,1318000,45727,79464,1,360,2,31,0.045,4,118000,149594.8661
5507,303625,75847,102249,1,360,2,48,0.035,5,485000,365213.2834
5508,298800,51075,102768,2,360,2,54,0.0338,5,125250,215481.2718
5509,673184,70303,104680,1,360,2,34,0.0325,5,273700,336648.2763
5510,215472,53017,460812,2,360,2,99,0.035,4,417000,284000.5154
5511,2705000,64129,74220,1,360,2,46,0.0363,5,390000,287913.902
5512,215472,53017,267780,2,180,2,39,0.0313,5,417000,203301.0383
5513,2705000,59588,145392,2,360,2,53,0.0388,5,236000,287297.7485
5514,298800,51075,78456,2,360,2,62,0.0388,5,145000,204193.2217
5515,298800,45215,79992,1,360,2,55,0.0388,5,120000,153204.9836
5516,864771,64500,170003,2,360,2,73,0.0375,5,364200,313690.3969
5517,864771,50532,60563,2,360,2,66,0.0338,5,107000,198486.0071
5518,298800,51075,144156,1,360,2,31,0.0355,5,262500,218341.2215
5519,126808,53906,74526,2,360,2,58,0.0325,4,140000,209711.2206
5520,673184,56990,56310,2,360,2,42,0.0375,4,130000,230842.9717
5521,303625,66262,155708,1,360,2,33,0.0375,5,541600,319810.4704
5522,864771,64500,153096,2,360,2,46,0.0388,5,600000,319008.974
5523,126808,63909,140016,1,360,2,58,0.0338,5,351000,292145.5799
5524,126808,53906,57340,2,180,2,38,0.0338,5,88000,155673.1715
5525,864771,51084,153708,2,240,2,48,0.035,5,147200,183137.7774
5526,864771,50532,93276,2,348,2,99,0.0325,5,207000,190019.1512
5527,864771,50532,47502,1,360,2,24,0.0338,5,98320,195636.0878
5528,303625,55702,28980,1,360,1,30,0.035,2,54625,128723.7737
5529,215472,54736,91567,2,180,2,99,0.0313,4,112000,132207.4263
5530,2705000,44765,51996,1,360,1,47,0.04,4,200000,92536.78934
5531,298800,45215,157488,1,360,2,53,0.0388,4,243050,157294.7673
5532,126808,63909,95772,2,360,2,31,0.0388,5,299800,304323.318
5533,126808,53906,166296,2,360,2,53,0.0425,5,363200,246024.101
5534,864771,64500,72372,2,360,2,40,0.0338,5,417000,303342.0033
5535,472522,52431,190296,2,180,2,63,0.0288,5,356000,172956.514
5536,126808,48568,64993,2,360,2,34,0.0375,2,170200,146887.2918
5537,2705000,64500,177348,2,360,2,48,0.0425,5,525000,327909.3258
5538,303625,55702,59844,1,360,1,25,0.0325,4,92800,171398.3582
5539,298800,51075,96096,2,360,2,31,0.0338,5,239000,222433.4075
5540,8538000,60850,110552,1,360,1,59,0.0363,2,166528,195074.044
5541,303625,55702,52187,1,360,2,55,0.04,2,41600,166964.2984
5542,2705000,64500,300000,1,360,2,43,0.0375,3,474950,315293.9489
5543,298800,51075,73800,2,342,2,58,0.0338,5,271500,199489.5223
5544,2705000,55638,125124,1,360,2,28,0.0388,4,275405,234222.2104
5545,673184,70628,119772,2,240,2,51,0.035,5,280000,301963.7148
5546,864771,51084,53424,2,360,2,29,0.0325,4,195000,198793.3912
5547,215472,54736,93117,2,360,2,47,0.0338,5,193200,239615.8027
5548,2705000,59588,155400,2,360,2,55,0.0338,5,130000,291270.6377
5549,298800,51075,26676,2,360,2,55,0.0338,5,67650,196122.2153
5550,298800,45215,67476,2,360,2,62,0.0338,3,138000,133022.9145
5551,673184,71346,65340,2,360,2,64,0.035,5,110000,336689.9166
5552,864771,63909,243984,1,360,2,44,0.0325,5,394400,326011.9839
5553,472522,49426,137016,2,180,2,49,0.0263,5,271050,146192.3819
5554,126808,53906,140442,2,360,2,36,0.0363,5,175000,248701.9214
5555,303625,55702,79400,2,360,2,65,0.035,5,107000,235541.4204
5556,126808,53906,44400,2,360,2,22,0.0325,4,52000,215682.0879
5557,298800,51075,70000,2,360,2,32,0.04,5,274600,212788.6927
5558,126808,54996,104508,2,360,2,37,0.0325,5,259200,248245.6486
5559,303625,55702,66876,1,240,1,44,0.0338,4,60000,117016.8879
5560,298800,50532,111708,2,360,2,34,0.0375,5,247800,219974.8514
5561,215472,50238,100364,2,360,2,39,0.035,4,179000,198212.3051
5562,8538000,72222,95771,2,360,2,53,0.0363,4,248000,360029.7254
5563,215472,63488,36675,2,180,2,43,0.0263,3,59000,183474.0548
5564,864771,51084,55453,1,360,1,99,0.035,4,180800,112594.0335
5565,215472,50238,34890,2,360,2,45,0.0338,5,168510,196157.4189
