Index,FHLBankPopulation,StateAvgIncome,Income,Purpose,Term,First,BoAge,Rate,BoCreditScore,Amount,Amount_Prediction
0,298800,45215,184464,2,360,2,41,0.035,4,208500,185538.2045
1,298800,51075,134038,1,360,2,32,0.035,5,182400,215664.7354
2,298800,51075,36288,1,360,2,36,0.0388,5,103200,188087.0495
3,864771,51084,242241,1,360,2,43,0.0375,4,136000,223105.4369
4,864771,50532,142445,1,360,2,99,0.0338,5,173600,191225.5879
5,298800,50532,238430,1,360,2,34,0.0363,5,300000,236798.9205
6,126808,54996,50071,2,360,2,44,0.035,5,146686,230928.8893
7,864771,51084,34968,1,360,2,65,0.035,4,130000,164262.8039
8,215472,54736,24852,2,180,2,45,0.0313,5,61100,151787.3449
9,2705000,59588,45756,1,360,1,32,0.0375,2,93279,163534.6428
10,298800,51244,339998,2,360,2,34,0.0363,4,304700,266169.6401
11,126808,53906,135676,1,180,2,61,0.0288,4,80000,137505.5092
12,864771,50532,52679,2,180,2,99,0.0238,5,120000,115947.6022
13,2705000,55638,64002,2,360,2,40,0.035,4,91200,231494.4267
14,2705000,55638,51297,2,180,2,68,0.0313,5,60500,162816.8146
15,864771,50532,148369,2,240,2,39,0.035,5,160000,181535.0876
16,215472,54736,112012,2,360,2,99,0.0338,5,123200,224848.6179
17,864771,50532,171824,2,360,2,32,0.0325,5,296000,239561.2108
18,215472,63488,99880,2,240,2,45,0.0363,5,72800,250251.4591
19,864771,50532,105372,2,180,2,44,0.0275,5,120000,148052.7274
20,303625,55702,55000,1,360,1,24,0.035,4,190800,169451.8324
21,864771,50532,96492,1,360,2,31,0.0388,4,252000,187016.8067
22,298800,50532,105912,2,360,2,32,0.035,5,98000,220390.6968
23,2705000,55638,125148,2,360,2,55,0.0338,5,227000,257658.561
24,864771,52431,58611,2,360,2,68,0.0413,4,196500,190448.3573
25,215472,50238,86417,1,360,2,33,0.0338,5,178000,198182.5057
26,298800,45215,175440,1,180,2,45,0.0275,5,320000,113135.3257
27,2705000,55638,59844,2,360,2,67,0.0375,5,146000,235223.2958
28,215472,54736,84984,2,180,2,39,0.0275,5,127300,170728.8892
29,864771,51084,69996,1,360,2,28,0.0375,5,170910,201745.3529
30,298800,51075,69360,2,360,2,48,0.0338,4,111500,193399.8586
31,864771,72222,144720,2,240,2,48,0.0325,5,272000,321488.882
32,215472,64129,213828,2,360,2,43,0.0388,3,503000,298997.7802
33,298800,45215,112625,1,360,2,33,0.0325,5,223200,172392.6083
34,215472,50238,52575,1,360,1,43,0.0375,3,142500,108315.8402
35,303625,75847,254667,1,360,2,40,0.0375,5,444774,405125.0026
36,864771,64500,109600,2,360,2,41,0.0425,5,556950,308383.5544
37,298800,45215,163632,2,360,2,38,0.0338,4,262000,181998.7516
38,303625,55702,71064,1,360,1,24,0.0375,4,184500,172347.0631
39,298800,50532,34104,2,360,2,77,0.0375,5,116000,184503.6224
40,215472,54736,86985,2,360,2,40,0.0388,5,258948,238483.155
41,303625,55702,91668,2,240,2,38,0.035,5,73400,200278.3643
42,298800,51075,245000,2,360,2,51,0.037,5,286000,250666.9145
43,673184,70628,218058,2,360,2,60,0.0413,3,409900,336760.5406
44,298800,50532,40788,2,360,2,74,0.0338,5,99550,188941.84
45,303625,55702,78000,1,360,2,30,0.0338,4,208000,217518.2051
46,298800,51075,188090,2,360,2,36,0.0363,3,417000,210411.0238
47,864816,64500,224184,2,360,2,32,0.0388,5,618500,341990.0345
48,8538000,60850,233040,2,360,2,32,0.0338,5,600000,344212.5373
49,864771,51084,47496,1,360,2,26,0.0363,4,129200,181420.9021
50,864771,50532,143316,1,360,2,99,0.035,5,197200,190908.8369
51,298800,51075,155040,2,360,2,50,0.035,4,243000,213493.0697
52,298800,45215,165801,1,360,2,35,0.0313,5,201800,185444.4201
53,864771,51084,76912,2,180,2,35,0.03,5,190400,146853.728
54,215472,50238,42147,1,360,1,99,0.0388,3,88000,84155.64475
55,864771,51084,36436,2,360,2,35,0.0375,5,136800,206076.1123
56,2705000,55638,92723,2,240,2,38,0.0338,5,91500,207498.5037
57,8538000,60850,425000,2,180,2,42,0.0325,5,417000,316278.6176
58,126808,54996,64308,2,180,2,38,0.035,3,60000,132081.6337
59,298800,51075,77040,2,360,2,40,0.035,5,226000,213773.2385
60,215472,53017,163020,1,360,2,28,0.04,5,354350,234745.7846
61,126808,63909,46944,1,360,1,28,0.035,2,234671,187605.5265
62,864771,51084,101196,2,360,2,33,0.0388,5,220950,222403.9922
63,864771,50532,163051,1,360,2,60,0.0375,5,369600,209330.9712
64,298800,50532,175764,2,348,2,41,0.0375,5,355100,228489.9645
65,126808,53906,73445,1,240,2,41,0.0375,5,120000,165813.993
66,303625,66262,110198,1,360,2,38,0.0375,5,513900,306582.8407
67,298800,51075,38145,1,360,1,30,0.0338,4,75905,132987.4262
68,864771,50532,82632,2,360,2,34,0.04,5,112000,213221.2852
69,298800,50532,112380,2,360,2,58,0.0363,5,287550,211685.1761
70,215472,50238,47463,2,180,2,55,0.0325,5,61000,123467.7133
71,126808,63909,112372,2,360,2,73,0.0388,5,205200,292729.9611
72,298800,51084,109200,2,360,2,39,0.0388,4,182800,204545.5694
73,298800,51075,113974,1,360,2,31,0.035,5,304000,211033.551
74,298800,50532,186192,2,360,2,38,0.0363,5,347850,237593.5755
75,864771,54996,179832,2,360,2,54,0.035,5,322000,261660.5061
76,215472,63488,339374,1,360,2,51,0.0338,4,261228,325987.0102
77,215472,54736,81000,2,360,2,41,0.04,5,320000,236081.2392
78,2705000,55638,118015,1,360,2,32,0.0375,5,275000,247522.766
79,215472,54736,77259,2,240,2,99,0.0325,5,139950,168317.4014
80,126808,53906,141912,2,360,2,31,0.0363,5,228000,250941.883
81,864771,51084,32544,1,240,2,58,0.0363,5,70000,133257.0076
82,2705000,55638,59656,1,360,1,43,0.0375,3,155700,152811.324
83,864771,59588,120336,2,240,2,44,0.0325,5,239000,233537.2693
84,303625,51075,235584,1,360,2,57,0.0338,5,216000,232181.5209
85,126808,48568,55655,2,180,2,33,0.0288,3,144000,92139.57023
86,864771,55638,56305,2,360,2,99,0.035,5,101000,218218.8236
87,298800,51075,66252,2,360,2,35,0.0325,5,178300,214067.5395
88,864816,51492,55513,2,180,2,58,0.0313,5,116500,135011.864
89,298800,51075,123731,1,360,2,31,0.0333,5,212000,214224.4373
90,2705000,64500,120000,2,360,2,45,0.0388,5,489000,316372.013
91,126808,53906,45000,1,360,2,99,0.0338,5,62225,187073.8013
92,126808,53906,218328,2,360,2,44,0.0388,4,417000,248029.9696
93,298800,50532,113928,2,360,2,61,0.0363,4,154400,194953.2646
94,126808,54996,169677,2,180,2,28,0.0313,5,154000,195751.9543
95,126808,51492,60180,2,360,2,76,0.0388,5,146500,196649.8528
96,864771,50532,47832,2,240,2,41,0.0325,4,65500,140820.9566
97,298800,49426,54276,2,180,2,69,0.0289,5,124800,116404.1827
98,8538000,60850,114780,2,240,2,42,0.03,5,296000,264213.1251
99,298800,51075,25625,1,360,1,50,0.035,5,63000,137831.0896
100,298800,51075,96972,1,360,2,57,0.035,5,139600,197050.9957
101,215472,50238,71422,1,360,1,29,0.035,4,152000,135369.8387
102,215472,54736,62174,2,180,2,25,0.0363,3,49600,134378.0963
103,864771,51084,108504,1,360,2,51,0.035,4,215920,187854.4948
104,864771,51084,255737,2,180,2,99,0.0288,5,125000,168026.3078
105,126808,54996,75599,1,348,1,28,0.0375,4,118750,161973.4095
106,2705000,55638,81480,1,360,1,43,0.0325,2,200402,144487.3021
107,298800,51075,200184,2,276,2,42,0.0338,5,297000,210374.1633
108,298800,51075,61224,1,360,2,62,0.0375,5,179100,185146.2923
109,298800,51075,114996,2,360,2,60,0.0338,4,224200,200290.0204
110,298800,51075,60552,2,240,2,71,0.0338,5,160000,150140.6214
111,215472,54736,99759,1,360,2,62,0.0375,2,148000,170697.7922
112,298800,50532,90912,2,360,2,41,0.0338,5,143600,213810.5896
113,298800,51075,85920,2,360,2,65,0.0338,4,96990,191162.5573
114,8538000,60850,130048,1,360,1,99,0.0363,3,345950,200946.7037
115,126808,63909,123216,1,360,2,27,0.0363,5,370000,298455.3591
116,864771,51084,37476,1,360,2,51,0.0338,5,33000,186661.7735
117,298800,51075,69996,1,360,1,32,0.035,4,174325,139650.683
118,215472,63488,64781,2,156,2,41,0.0275,4,113500,197007.8979
119,215472,63488,135295,1,360,2,49,0.0388,4,351920,273594.7811
120,303625,55702,112992,1,360,2,48,0.0363,5,161100,234386.4946
121,298800,51075,118212,2,360,2,45,0.0363,5,145500,221593.5896
122,864771,50532,100800,2,360,2,33,0.035,4,172000,204359.7587
123,215472,54736,53139,2,180,2,60,0.0275,5,70000,154916.3176
124,2705000,59588,67992,1,360,1,31,0.0363,4,182000,201979.4725
125,864771,51084,84100,1,360,1,50,0.0363,3,160000,121525.9198
126,472522,45382,208716,2,180,2,49,0.0275,5,202000,136862.2806
127,2705000,64500,165612,2,360,2,46,0.0375,5,405000,327955.8067
128,2705000,55638,72301,1,360,1,25,0.035,5,205200,195810.7354
129,864771,51084,105000,1,360,2,99,0.0325,4,417000,170110.1074
130,8538000,60850,36396,1,360,1,31,0.0338,5,49500,236157.8371
131,298800,51075,34164,1,360,2,63,0.035,4,83700,163138.7938
132,864771,50532,80500,1,360,2,99,0.035,5,288900,175236.6899
133,126808,53906,37523,1,240,2,51,0.0325,4,33600,139336.339
134,2705000,59588,121188,1,360,1,30,0.0363,5,363850,231620.3414
135,303625,55702,123140,1,360,2,34,0.0338,4,243000,227281.7498
136,864771,50532,104004,1,360,2,33,0.04,2,196377,155619.2508
137,303625,55702,171810,1,360,2,28,0.0338,4,359200,241672.4185
138,215472,63488,126367,2,180,2,38,0.0263,3,110000,207724.7806
139,298800,51075,83760,2,360,2,69,0.0388,4,47000,186899.84
140,864771,50532,146080,2,360,2,50,0.035,3,417000,193293.6917
141,472522,61255,38808,1,360,2,74,0.0363,5,180670,243260.8315
142,8538000,72222,93914,2,240,2,56,0.0325,5,268000,327688.7294
143,864771,51084,109861,1,360,2,99,0.0338,5,264000,186738.5305
144,298800,51075,289130,2,180,2,55,0.0325,4,350400,173528.2612
145,298800,51075,48108,2,360,2,30,0.0363,5,59700,209722.7594
146,2705000,59588,62400,2,360,2,49,0.0425,3,260000,234455.3106
147,864816,64500,348769,2,360,2,60,0.0388,5,479000,362583.1501
148,298800,50532,75000,1,360,2,35,0.0363,4,161500,179655.4494
149,126808,53906,45240,1,360,1,99,0.0375,2,61750,93462.56514
150,298800,51075,133952,1,360,2,67,0.0375,4,260000,185424.0039
151,298800,51075,158640,2,336,2,48,0.0375,5,212000,220334.2751
152,2705000,59588,99612,1,360,1,45,0.035,4,209407,205202.023
153,864771,64500,149004,2,360,2,49,0.035,4,517000,302561.1102
154,864771,51084,84000,1,360,2,49,0.035,4,175000,182490.2032
155,673184,70628,44520,1,360,1,26,0.0338,4,240000,266165.863
156,298800,50532,129756,1,360,2,44,0.0363,5,270750,205939.1131
157,298800,51075,55992,1,360,2,49,0.035,4,186000,173829.705
158,864771,50532,68832,2,360,2,43,0.035,2,168650,160649.1505
159,2705000,55638,51456,2,360,2,52,0.0463,3,92400,202845.3312
160,864771,72222,60049,2,240,2,68,0.0375,5,152000,290645.992
161,673184,70628,144792,2,240,2,47,0.0325,5,303000,310817.2167
162,864771,64500,171396,2,360,1,99,0.035,4,409000,245373.8602
163,303625,55702,131208,2,360,2,30,0.035,5,310000,261579.5989
164,298800,51075,291328,1,360,2,56,0.0388,5,134400,244224.8947
165,215472,54736,105844,2,180,2,99,0.025,5,228000,154567.4502
166,8538000,75847,249288,2,360,2,45,0.0363,5,557000,441242.3395
167,864771,64500,109596,2,360,2,29,0.0388,5,272750,314524.9361
168,215472,50238,57504,2,240,2,57,0.0313,5,55000,149977.2249
169,215472,54736,106876,2,360,2,48,0.0388,4,252000,224454.4851
170,673184,70628,66684,2,360,2,30,0.0338,5,151000,345559.3172
171,298800,51075,76992,1,360,2,40,0.0338,5,162320,198969.0905
172,2705000,72222,125568,1,360,2,46,0.0363,5,511000,354127.2256
173,126808,48568,53881,2,240,2,42,0.035,2,89000,93791.26526
174,298800,51075,58320,2,254,2,59,0.0338,5,125500,159730.6847
175,8538000,55653,113256,1,360,1,38,0.04,4,345000,199665.0097
176,298800,51075,37440,2,300,2,28,0.0338,5,67700,184703.4985
177,126808,54996,114476,2,180,2,99,0.0313,5,115000,155380.1556
178,303625,55702,72696,1,360,2,42,0.035,5,309155,227159.3408
179,215472,50238,141814,2,240,2,32,0.0313,5,158000,180378.008
180,2705000,59588,809688,1,360,1,32,0.0438,2,208000,351326.4546
181,298800,50532,105240,2,360,2,41,0.0388,4,409500,199165.8749
182,673184,70628,128980,2,360,2,59,0.0363,5,375000,349124.5035
183,215472,54736,67200,2,240,2,31,0.035,5,151138,190170.7447
184,298800,51075,102996,1,360,1,27,0.0363,4,132000,149178.5921
185,2705000,59588,107859,2,240,2,37,0.0375,4,130000,220073.0019
186,864771,51084,160000,1,360,2,99,0.035,5,407200,198713.7966
187,215472,54736,115152,2,360,2,32,0.0338,5,359418,250733.0003
188,8538000,51492,56940,1,360,2,32,0.0375,3,260000,189565.9423
189,126808,54996,136667,2,360,2,42,0.0375,5,381000,252170.6372
190,126808,54996,39936,2,240,2,41,0.035,5,77400,181085.0494
191,864771,51084,144204,2,180,2,99,0.0313,3,191250,107098.5862
192,126808,48568,325878,2,360,2,51,0.0388,4,360000,237017.1877
193,298800,66262,112517,2,360,2,44,0.0325,4,321750,306457.0889
194,864771,66262,300000,1,360,2,34,0.04,4,367600,339928.3948
195,298800,49426,131250,1,360,2,53,0.035,5,129900,196220.6102
196,298800,51075,41976,1,360,1,64,0.0375,5,95000,135552.945
197,2705000,55638,84048,1,360,2,38,0.035,5,225000,237913.0152
198,864816,64500,122628,2,360,2,56,0.0363,5,461202,308773.7615
199,864771,47238,77364,1,360,2,42,0.035,4,262500,158078.8941
200,8538000,60850,62434,2,360,2,55,0.0375,5,200000,291384.1135
201,864771,51084,69000,2,360,2,99,0.04,5,148500,189110.9258
202,126808,53906,121400,2,120,2,50,0.0313,4,104800,128058.8354
203,2705000,55638,142077,1,360,2,32,0.0363,5,248000,254060.1239
204,298800,51075,92976,2,324,2,40,0.0338,4,155000,187757.2686
205,298800,51075,124860,1,360,1,33,0.0375,5,180500,167845.7997
206,673184,70628,70529,2,360,2,69,0.0325,5,337000,332486.1666
207,298800,45215,67488,2,360,2,53,0.0375,4,114000,150745.2006
208,864771,50532,77150,2,240,2,99,0.035,3,160000,109299.5623
209,864771,50532,165012,2,360,2,45,0.035,5,316000,231878.7032
210,298800,51075,75000,1,360,2,51,0.04,5,139990,191591.7388
211,298800,51075,41592,1,360,2,37,0.0388,5,165000,189035.7185
212,215472,54736,133000,1,360,2,56,0.0363,5,348000,229755.7008
213,215472,54736,41740,1,360,1,99,0.0413,5,80205,144610.3247
214,126808,48568,50067,2,240,2,99,0.035,5,144000,119467.7456
215,298800,51075,108093,2,240,2,38,0.0338,5,156240,174364.9308
216,126808,54996,55733,1,360,2,56,0.0338,4,116000,197059.4466
217,864771,51075,216036,2,360,2,35,0.0363,4,417000,235365.5099
218,864771,50532,82044,1,360,2,31,0.0375,4,174400,183990.6972
219,215472,54736,78350,2,148,2,37,0.03,5,125700,155793.3049
220,126808,53906,92063,1,360,1,50,0.04,2,110854,122389.3777
221,673184,51494,108716,2,180,2,46,0.0338,5,120000,151135.6548
222,8538000,60850,66012,1,360,1,99,0.0388,4,196903,199851.754
223,298800,45215,95616,1,360,2,34,0.0363,5,152950,166083.1541
224,126808,48568,112716,2,360,2,50,0.0425,3,240400,166568.5349
225,215472,54736,18326,1,180,2,24,0.0325,4,30000,126172.1306
226,864771,64500,110004,2,240,2,54,0.0325,5,356000,259625.3517
227,864771,51084,45012,2,360,2,99,0.035,5,116000,185351.3367
228,298800,51075,54516,1,360,1,24,0.0338,4,90800,139319.7232
229,1318000,66262,170628,1,360,2,53,0.0363,4,464000,303471.4328
230,2705000,63488,31200,1,360,1,20,0.0338,4,78551,223768.2958
231,215472,63488,93350,1,180,2,43,0.0275,4,166500,197747.9772
232,215472,50238,134308,2,180,2,99,0.03,5,135000,129763.3271
233,864771,50532,126687,1,360,2,38,0.0338,5,417000,210147.2047
234,298800,51075,85380,2,276,2,60,0.0338,5,121500,174987.8331
235,126808,53906,70000,1,360,1,37,0.0338,4,103500,156502.8646
236,2705000,59588,122868,1,360,2,30,0.0388,5,193900,274968.6908
237,2705000,59588,53076,1,360,1,28,0.0388,3,68181,182275.1346
238,126808,50238,127470,2,360,2,66,0.0338,5,183000,211135.2647
239,2705000,51084,172428,2,360,2,45,0.0325,5,350000,243729.6011
240,215472,54736,43989,1,360,2,99,0.04,4,130000,173797.621
241,8538000,72222,110843,1,360,1,31,0.0363,5,344000,328658.3395
242,864771,50532,124992,2,360,2,29,0.0363,5,319000,227309.695
243,298800,51075,69996,2,180,2,31,0.0275,5,82644,146066.7235
244,298800,51075,40464,2,120,2,55,0.0263,5,55000,106021.7873
245,303625,55702,100412,1,360,1,44,0.0388,4,190000,171597.7888
246,864771,64500,85320,2,360,2,34,0.035,5,349000,308286.2267
247,215472,54736,162708,2,360,2,45,0.03,5,195000,259418.7348
248,2705000,55638,113820,1,360,2,29,0.0355,5,224000,248490.1663
249,864771,72222,144360,2,360,2,43,0.0338,5,300000,371132.8608
250,215472,54736,169271,2,360,2,99,0.03,5,317152,240825.5205
251,298800,51075,94644,2,360,2,47,0.0375,4,211500,198435.9962
252,215472,54736,588408,1,360,2,50,0.035,5,124400,346203.1838
253,298800,51075,117300,2,360,2,48,0.035,5,333000,220820.6921
254,2705000,59588,113748,2,240,2,47,0.0375,5,234750,233790.0539
255,2705000,55638,95832,2,360,2,50,0.035,3,321028,219695.1699
256,303625,55702,143380,1,354,2,40,0.0363,5,314165,242543.259
257,126808,54996,67995,2,180,2,31,0.0288,5,101000,170371.7148
258,298800,51075,219996,2,360,2,47,0.0334,5,275000,247529.3371
259,298800,51084,122845,2,360,2,32,0.035,5,290000,228257.7802
260,303625,75847,218106,1,360,1,29,0.0375,5,625500,356082.5228
261,126808,53906,52860,1,360,2,27,0.0338,4,170946,200014.795
262,298800,51075,89662,1,360,2,27,0.0388,5,270750,204775.2571
263,303625,55702,109908,2,360,2,32,0.0375,5,266000,254403.4935
264,864771,50532,148332,2,240,2,37,0.0325,5,240000,183387.7627
265,298800,51075,90048,1,360,2,32,0.035,5,190000,204689.542
266,298800,51075,108396,1,360,1,29,0.0363,4,152900,149776.571
267,2705000,59588,45804,1,360,1,33,0.0425,3,80205,176940.9323
268,298800,51075,48540,1,360,1,24,0.035,4,108000,137294.6942
269,864771,64500,41988,2,360,2,59,0.0338,5,202000,288643.2236
270,298800,51075,105492,1,360,2,34,0.0363,5,323000,207214.8636
271,298800,51075,89400,2,360,2,34,0.0375,4,357213,201997.9937
272,215472,50238,127723,2,360,2,45,0.0363,5,362295,218205.9714
273,126808,54996,31823,1,240,1,55,0.0375,2,58500,65352.64678
274,215472,54736,72000,2,300,2,47,0.0338,5,170219,210127.684
275,126808,54996,74496,1,360,1,25,0.0363,5,171900,184194.3199
276,2705000,55638,88560,1,180,2,34,0.0288,4,228000,154643.6667
277,864771,51084,116124,2,360,2,29,0.0388,5,265536,227626.9882
278,303625,75847,122992,1,360,1,48,0.0413,4,483959,307548.6767
279,215472,53017,90463,1,180,2,99,0.0275,5,70400,122948.1741
280,298800,47275,70000,2,180,2,41,0.0325,5,83000,115021.4313
281,126808,48568,47625,1,360,2,99,0.035,4,132000,135977.2034
282,673184,70628,60744,2,360,2,51,0.0388,4,111500,317990.4103
283,864771,51084,119000,2,360,2,99,0.035,4,237000,187816.6164
284,673184,70628,97595,2,360,2,33,0.0363,4,400000,335040.6427
285,126808,54996,165110,2,360,2,41,0.0338,5,286000,261288.2885
286,303625,55702,114668,2,360,2,33,0.0338,5,300000,256863.1211
287,864816,64500,194317,2,360,2,57,0.0338,5,570000,327397.6413
288,673184,56990,112947,2,360,2,59,0.035,5,220300,255711.4238
289,864816,64500,188000,1,360,2,26,0.0338,5,620250,322109.2466
290,864771,50532,74436,2,360,2,30,0.0363,5,320000,214321.6897
291,472522,50238,94992,2,180,2,45,0.0275,9,89300,206007.0593
292,8538000,72222,180636,1,240,2,47,0.035,5,238000,336258.1717
293,673184,70628,95083,2,180,2,54,0.0288,4,211000,257225.5872
294,864771,66262,87900,2,360,2,32,0.0325,5,188450,322418.5344
295,298800,47830,174148,2,360,2,44,0.0338,5,386000,215624.0768
296,215472,63488,32778,1,360,2,74,0.0325,5,96800,257449.4939
297,126808,63909,107734,2,360,2,66,0.0338,5,97341,296420.5499
298,215472,54736,19597,1,360,1,20,0.0375,3,49320,138385.2578
299,298800,49426,186888,2,180,2,58,0.0279,5,363000,154056.0423
300,215472,54736,90142,1,360,2,67,0.035,5,136800,215520.4421
301,673184,70628,46763,2,240,2,59,0.0313,3,104000,250409.6333
302,298800,45215,155160,2,360,2,55,0.0363,5,180000,188397.7224
303,864771,51084,193320,2,180,2,52,0.0288,5,222000,170061.8547
304,303625,55702,109705,1,354,2,35,0.04,5,267833,234368.1093
305,2705000,55638,54084,1,360,1,25,0.0388,3,136760,157586.1307
306,673184,70628,118080,2,240,2,53,0.0313,5,236000,302438.9727
307,298800,51075,74123,2,360,2,44,0.0375,5,171000,210434.2785
308,126808,53906,58140,2,360,2,99,0.0325,5,60000,206256.9341
309,864771,51084,102324,1,360,1,27,0.035,5,157500,167256.3999
310,864771,51084,85020,2,360,2,36,0.0338,5,277000,219469.5176
311,298800,51075,104340,2,360,2,69,0.0375,5,75000,208607.1707
312,303625,55702,126822,1,240,2,52,0.035,5,186400,188477.8268
313,126808,63909,42711,1,360,1,28,0.0325,3,224730,203656.2488
314,298800,51075,37048,2,360,2,30,0.0325,3,120000,176666.1509
315,215472,54736,78215,2,180,2,32,0.025,3,105000,140786.7804
316,8538000,60850,155340,1,360,2,36,0.0388,4,256000,289782.6911
317,298800,51075,171264,1,360,2,48,0.0338,5,228800,219492.1555
318,864771,63909,57756,1,360,2,36,0.03,5,219925,283659.1718
319,215472,63488,200930,2,240,2,53,0.03,5,168000,275269.3982
320,673184,70628,166132,2,360,2,35,0.0363,5,348000,367385.0582
321,215472,54736,40040,1,360,1,26,0.035,4,66787,158344.6187
322,298800,51075,150000,2,360,2,39,0.0363,5,327800,231772.3189
323,298800,51075,177938,2,360,2,38,0.0338,5,273000,240229.917
324,215472,63488,331200,1,240,2,34,0.0363,3,335200,264770.58
325,864771,50532,21400,1,360,1,21,0.0325,4,45000,130790.285
326,126808,53906,65441,2,360,2,41,0.0338,4,154000,213234.9173
327,126808,53906,79727,2,360,2,30,0.0388,4,178500,218694.9816
328,864771,51084,173604,1,360,2,50,0.035,5,260000,220465.3274
329,298800,47830,163200,2,360,2,45,0.035,5,250000,211983.9277
330,2705000,59588,59100,1,360,1,30,0.0375,4,88369,199601.5636
331,298800,50532,92952,1,360,1,25,0.0363,5,243750,159833.1378
332,303625,51075,79861,1,360,1,26,0.0338,4,173250,144907.5921
333,673184,51494,67622,2,240,2,59,0.0338,4,180000,144238.029
334,864816,64500,95124,1,360,2,40,0.0375,5,504000,292045.6799
335,298800,51075,125583,2,360,2,37,0.035,5,252000,227008.2974
336,126808,53906,36490,1,360,1,21,0.0338,2,64500,122148.215
337,298800,45215,172683,1,360,2,35,0.0325,5,298000,186627.371
338,303625,51075,131596,1,360,2,38,0.0388,5,280000,211130.1913
339,8538000,72222,120324,2,360,2,31,0.0388,4,295200,373285.0126
340,864771,64500,87288,2,360,2,99,0.035,4,415000,268431.3347
341,673184,70628,69159,1,360,1,23,0.0363,4,223250,272324.4198
342,864771,64500,116568,2,360,2,44,0.0325,5,331800,313448.5908
343,298800,50532,154380,1,360,2,33,0.035,5,216000,216782.2464
344,298800,51075,50100,2,360,2,67,0.035,5,124500,196936.5812
345,298800,51075,42492,1,360,2,49,0.035,5,105000,186455.7529
346,298800,51075,122808,2,180,2,34,0.0275,4,133600,142124.8169
347,864771,51075,120297,2,180,2,99,0.0288,5,200000,134175.5998
348,864771,63909,230892,2,360,2,35,0.0388,4,417000,322645.6136
349,126808,50238,34692,2,240,2,35,0.035,5,88200,150628.482
350,673184,70628,88566,2,240,2,56,0.0325,5,155000,293417.4552
351,864771,70628,185160,2,360,2,33,0.0325,5,330500,375119.0031
352,673184,70628,96016,2,360,2,60,0.04,3,165000,306890.4902
353,864771,75847,159048,1,360,2,80,0.035,5,250000,368995.266
354,864771,50532,49044,1,360,2,25,0.0363,3,136187,162545.1364
355,126808,54996,48880,2,360,2,29,0.0375,5,73600,235138.7409
356,126808,53906,173401,1,360,1,58,0.0375,5,294750,188780.7316
357,8538000,60850,93185,1,360,2,31,0.0375,5,130435,292721.4324
358,2705000,59588,78300,2,360,2,51,0.0399,4,204800,254824.2959
359,864771,64500,115000,2,360,2,31,0.04,4,257000,298595.6515
360,215472,54736,42264,2,240,2,26,0.035,4,40000,169828.3941
361,864771,50532,167808,1,360,2,48,0.035,4,280000,200131.9272
362,673184,51494,92628,1,360,2,68,0.035,4,130000,179683.9386
363,298800,51075,33036,1,360,1,40,0.0388,4,142860,125741.1057
364,126808,53906,58450,2,360,2,60,0.035,5,90000,219832.6684
365,215472,54736,121999,1,360,2,45,0.03,4,150100,217941.6937
366,126808,63909,49380,1,360,1,27,0.0338,5,221154,237104.5988
367,2705000,55638,259992,2,180,2,48,0.0295,4,208000,207184.4538
368,298800,51075,129564,1,360,2,33,0.0388,5,200000,212482.675
369,126808,53906,69935,1,180,2,55,0.0313,4,52000,122238.8204
370,298800,51075,112371,1,360,2,32,0.0338,5,220000,210793.0317
371,864771,51084,113736,2,360,2,36,0.0388,5,150000,224408.7092
372,864771,50532,109308,1,180,2,51,0.0275,5,168750,131086.01
373,2705000,55702,111312,2,360,2,45,0.0338,5,295000,258375.3006
374,298800,50532,144312,2,360,2,53,0.0375,4,207600,204996.9294
375,673184,51494,77691,2,360,2,46,0.0375,5,116000,214407.1844
376,864771,51084,39190,2,180,2,50,0.0288,5,57000,132356.7943
377,2705000,59588,42384,2,360,2,67,0.0438,4,212000,238133.5531
378,2705000,64500,79884,2,360,2,60,0.035,5,417000,302434.9216
379,215472,50238,146770,1,240,2,55,0.0363,5,121660,155446.2638
380,2705000,59588,86544,1,360,2,37,0.0338,4,182700,249514.6649
381,298800,50532,79968,1,360,2,28,0.0338,5,117035,200624.2458
382,472522,47830,200892,2,360,2,51,0.0325,3,234250,188759.3837
383,673184,56990,64824,1,360,1,28,0.0388,5,275702,194259.7157
384,298800,51075,164388,2,360,2,39,0.0338,5,250000,236474.6465
385,215472,50238,110049,1,360,2,58,0.0413,3,183100,159386.212
386,864771,60850,309996,2,360,2,40,0.0363,4,417000,321435.8413
387,1318000,45727,84012,2,180,2,40,0.0299,5,107414,112739.7369
388,303625,66262,156691,2,360,2,72,0.0363,5,527093,321304.9978
389,2705000,64500,215364,2,240,2,52,0.0363,5,485000,290215.6357
390,298800,51075,101784,2,360,2,65,0.0388,5,131250,208889.4682
391,298800,51075,91872,2,360,2,42,0.0363,5,242250,216145.8704
392,215472,54736,77078,2,240,2,47,0.03,5,128000,188866.2201
393,864771,50532,33522,2,240,2,99,0.035,5,69500,130403.0899
394,8538000,60850,201996,2,360,2,40,0.0325,4,398000,318054.5098
395,298800,50532,35352,1,360,2,29,0.04,5,67450,186358.9222
396,126808,53906,92901,1,360,2,31,0.0388,4,211500,206280.9282
397,8538000,60850,83196,2,360,2,48,0.0313,5,180000,301945.8816
398,215472,54736,184992,1,360,2,31,0.0413,4,156000,233873.9226
399,1318000,45727,176976,1,360,2,45,0.0425,5,316000,185785.2654
